,Unnamed: 0,Unnamed: 0.1,clave_ct,nom_turno,nombre_ct,domicilio,localidad_inegi,nombre_localidad,nombre_colonia,municipio,nombre_municipio,sostenimiento,nivel,programa,hombres_1!,mujeres_1!,total_1!,hombres_2!,mujeres_2!,total_2!,hombres_3!,mujeres_3!,total_3!,hombres_4!,mujeres_4!,total_4!,hombres_5!,mujeres_5!,total_5!,hombres_6!,mujeres_6!,total_6!,hombres_total,mujeres_total,matricula_total,docentes,grupos,docenete_educacion_fisica,docente_actividades_artisticas,docente_actividades_tecnonologicas,docente_de_idiomas,personal_de_administrativo_y_servicios,director_con_grupo,director_sin_grupo,total_de_personal
4445,4445,4445,14KJN0612S,MATUTINO,SAN_IGNACIO,CONOCIDO,156,SAN_IGNACIO,0,58,MASCOTA,FEDERAL,PREESCOLAR,CONAFE,3,1,4,3,1,4,2,1,3,0,0,0,0,0,0,0,0,0,8,3,11,1,1,0,0,0,0,0,0,0,1
4446,4446,4446,14KJN0613R,MATUTINO,TIERRAS_COLORADAS,CONOCIDO,182,TIERRAS_COLORADAS,0,58,MASCOTA,FEDERAL,PREESCOLAR,CONAFE,2,0,2,5,0,5,3,0,3,0,0,0,0,0,0,0,0,0,10,0,10,1,1,0,0,0,0,0,0,0,1
4447,4447,4447,14KJN0614Q,MATUTINO,LA_PLATA,CONOCIDO,131,LA_PLATA,0,58,MASCOTA,FEDERAL,PREESCOLAR,CONAFE,2,4,6,0,1,1,3,1,4,0,0,0,0,0,0,0,0,0,5,6,11,1,1,0,0,0,0,0,0,0,1
4448,4448,4448,14KJN0615P,MATUTINO,LLANO_DEL_TORO,CONOCIDO,39,EL_LLANO_DE_LOS_TOROS,0,59,MAZAMITLA,FEDERAL,PREESCOLAR,CONAFE,4,5,9,1,3,4,2,2,4,0,0,0,0,0,0,0,0,0,7,10,17,2,2,0,0,0,0,0,0,0,2
4449,4449,4449,14KJN0617N,MATUTINO,AGUA_ZARCA,CONOCIDO,3,AGUA_ZARCA,0,62,MIXTLAN,FEDERAL,PREESCOLAR,CONAFE,2,0,2,2,2,4,1,0,1,0,0,0,0,0,0,0,0,0,5,2,7,1,1,0,0,0,0,0,0,0,1
4450,4450,4450,14KJN0625W,MATUTINO,EL_DIVISADERO,CONOCIDO,39,EL_DIVISADERO,0,68,VILLA_PURIFICACION,FEDERAL,PREESCOLAR,CONAFE,2,2,4,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,5,3,8,1,1,0,0,0,0,0,0,0,1
4451,4451,4451,14KJN0630H,MATUTINO,COLOMO,CONOCIDO,17,EL_COLOMO,0,71,SAN_CRISTOBAL_DE_LA_BARRANCA,FEDERAL,PREESCOLAR,CONAFE,2,1,3,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,3,3,6,1,1,0,0,0,0,0,0,0,1
4452,4452,4452,14KJN0631G,MATUTINO,CASA_VIEJAS,CONOCIDO,31,CASAS_VIEJAS,0,73,SAN_JUAN_DE_LOS_LAGOS,FEDERAL,PREESCOLAR,CONAFE,1,2,3,7,3,10,0,0,0,0,0,0,0,0,0,0,0,0,8,5,13,1,1,0,0,0,0,0,0,0,1
4453,4453,4453,14KJN0632F,MATUTINO,PIEDRAS_DE_AMOLAR_LAS,CONOCIDO,178,LAS_PIEDRAS_DE_AMOLAR,0,73,SAN_JUAN_DE_LOS_LAGOS,FEDERAL,PREESCOLAR,CONAFE,0,1,1,3,1,4,1,1,2,0,0,0,0,0,0,0,0,0,4,3,7,1,1,0,0,0,0,0,0,0,1
4454,4454,4454,14KJN0633E,MATUTINO,ESPERANZA_LA,CONOCIDO,418,LA_ESPERANZA,0,73,SAN_JUAN_DE_LOS_LAGOS,FEDERAL,PREESCOLAR,CONAFE,3,0,3,3,6,9,1,2,3,0,0,0,0,0,0,0,0,0,7,8,15,1,1,0,0,0,0,0,0,0,1
4455,4455,4455,14KJN0637A,MATUTINO,LAS_GUASIMAS,CONOCIDO,90,LAS_GUASIMAS,0,84,TALPA_DE_ALLENDE,FEDERAL,PREESCOLAR,CONAFE,2,0,2,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,5,1,6,1,1,0,0,0,0,0,0,0,1
4456,4456,4456,14KJN0638Z,MATUTINO,SANTA_LUCIA_DE_LA_CUESTA,CONOCIDO,215,SANTA_LUCIA_DE_LA_CUESTA,0,84,TALPA_DE_ALLENDE,FEDERAL,PREESCOLAR,CONAFE,0,1,1,0,2,2,2,0,2,0,0,0,0,0,0,0,0,0,2,3,5,1,1,0,0,0,0,0,0,0,1
