,Unnamed: 0,Unnamed: 0.1,clave_ct,nom_turno,nombre_ct,domicilio,localidad_inegi,nombre_localidad,colonia,nombre_colonia,municipio_clave_inegi,nombre_municipio,sostenimiento,nivel,programa,deserciin_intracurricular,reprobaciin,reprobaciin__con_regularizados,eficiencia_terminal
10883,10883,10883,14KPR1739V,MATUTINO,SAN_JOSE_DE_LA_CUEVA,CONOCIDO,121,SAN_JOSE_DE_LA_CUEVA,0,0,73,SAN_JUAN_DE_LOS_LAGOS,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10884,10884,10884,14KPR1740K,MATUTINO,EL_CARRICILLO,CONOCIDO,6,CARRICILLO,0,0,74,SAN_JULIAN,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10885,10885,10885,14KPR1742I,MATUTINO,SAN_JUANICO_DE_ENMEDIO,CONOCIDO,46,SAN_JUANICO_DE_ENMEDIO,0,0,116,VILLA_HIDALGO,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10886,10886,10886,14KPR0537S,MATUTINO,ALPIZAHUATL,CONOCIDO,34,ALPIZAHUA,0,0,102,TONAYA,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10887,10887,10887,14KPR0541E,MATUTINO,OJOTITANCILLO,CONOCIDO,116,OJOTITANCILLO,0,0,87,TECALITLAN,FEDERAL,PRIMARIA,CONAFE,20.0,0.0,,0.0
10888,10888,10888,14KPR0558E,MATUTINO,LA_LISTONA,CONOCIDO,111,CAMICHIN_GACHO,0,0,49,JILOTLAN_DE_LOS_DOLORES,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10889,10889,10889,14KPR0566N,MATUTINO,EL_ZAPOTE_DE_LIMON,CONOCIDO,416,EL_ZAPOTE,0,0,65,PIHUAMO,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,100.0
10890,10890,10890,14KPR0572Y,MATUTINO,LAS_MORAS,CONOCIDO,92,LAS_MORAS,0,0,86,TAPALPA,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10891,10891,10891,14KPR0575V,MATUTINO,BENITO_JUAREZ,CONOCIDO,172,EL_TIGRE,0,0,87,TECALITLAN,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10892,10892,10892,14KPR0585B,MATUTINO,SANTA_TERESA,CONOCIDO,190,SANTA_TERESA,0,0,78,SAN_MIGUEL_EL_ALTO,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,33.33
